Death toll (estimate)	Event	Location	Date
20,000	Huascarán avalanche; triggered by the 1970 Ancash earthquake[1]	Peru	1970
4,000	Huascarán avalanche[1]	Peru	1962
265	Winter of Terror; series of 649 avalanches	Austria-Switzerland	1951
201 (56 confirmed, 145 presumed dead)	2012 Afghanistan avalanches[2]	Afghanistan	2012
172	2010 Salang avalanches; series of at least 36 avalanches	Afghanistan	2010
138	2012 Siachen Glacier avalanche	Pakistan	2012
125	Kolka-Karmadon rock ice slide	Russia	2002
107	Saint-Martin[3] (Hautes-Pyrénées)	France	1600
102	2010 Kohistan avalanche	Pakistan	2010
96	Wellington, Washington avalanche; deadliest avalanche in the United States	United States	1910
90	Frank Slide	Canada	1903
81	Pragelato	Italy	1904
70	Frassino avalanche	Italy	1885
65	Palm Sunday Avalanche; deadliest avalanche along Chilkoot Trail	Alaska	1898
62	1910 Rogers Pass avalanche; deadliest avalanche in Canada	Canada	1910
59	1993 Bayburt Üzengili avalanche	Turkey	1993
79 (57 confirmed 22 presumed dead)	1954 Blons avalanches	Austria	1954
55	Møre og Romsdal	Norway	1679
50[citation needed]	Siglunesi	Iceland	1613
40	Puente del Inca avalanche	Argentina	1965
39	Val-d'Isère[4]	France	1970
38	Huez-en-Oisans[5]	France	1749
37	Ortiporio (Corsica)	France	1934
32	Vallouise (Hautes-Alpes)	France	1757
31	Galtür Avalanche	Austria	1999
26	Granduc Mine Avalanche[6]	Canada	1965
24	Seyðisfjörður	Iceland	1885
23	Balea Lac	Romania	1977
21	Sogn og Fjordane	Norway	1873
21	Lofoten	Norway	1956
20	Hnífsdalur	Iceland	1910
20	Flateyri	Iceland	1995
18	Rybô Avalanche[citation needed]	Slovakia	1924
9	Siglufjörður	Iceland	1919
16	Vassdall	Norway	1986
16	Low Tatras[7]	Slovakia	1956
15	1972 Manaslu Nepal avalanche	Nepal	1972
14	Súðavík	Iceland	1995
12	Neskaupstaður	Iceland	1974
12	Montroc avalanche[8]	France	1999
12	High Tatras[9]	Slovakia	1974
11	Manaslu[10]	Nepal	2012
11	2009 Zigana avalanche	Turkey	2009
11	Flathead Valley avalanches	Canada	2008
10	2009 Afghan avalanches	Afghanistan	2009
9	Mont Maudit avalanche[11]	France	2012
9	Cerro ventana avalanche	Argentina	2002
9	Restelica	Kosovo	2012
9	Seyðisfjörður	Iceland	1732
8	Lewes avalanche; deadliest avalanche in the United Kingdom	United Kingdom	1836
7	Sankt Anton am Arlberg (Wolfsgruben avalanche)	Austria	1988
7	2003 Connaught Creek Valley avalanche	British Columbia	2003
7	Western Tatras	Slovakia	2005
6	2009 Schalfkogel avalanche	Austria	2009
6	Oravska Magura	Slovakia	1968
5	Sheep Creek (Loveland Pass) avalanche[12]	United States	2013
3	2012 Tunnel Creek avalanche	United States	2012
3	2009 Buachaille Etive Mòr avalanche	United Kingdom	2009
6	1970 Mount Everest disaster	Nepal	1970
42	1995 Gokyo avalanche[13]	Nepal	1995
3	1996 Mount Everest disaster[14]	Nepal	1996
13	2014 Mount Everest avalanche	Nepal	April 2014
